"","feature","frequency"
"1227","seemed_to",33
"1228","i_wish",104
"1229","the_white",55
"1230","we_should",65
"1231","the_issue",47
"1232","is_how",45
"1233","tend_to",39
"1234","picture_of",29
"1235","the_three",47
"1236","life_i",30
"1237","can_find",44
"1238","the_earth",36
"1239","i_only",37
"1240","if_not",47
"1241","not_that",55
"1242","in_addition",59
"1243","from_this",22
"1244","form_of",35
"1245","also_be",35
"1246","her_in",30
"1247","is_always",46
"1248","work_and",40
"1249","from_our",41
"1250","that_people",37
"1251","the_public",73
"1252","know_it",50
"1253","the_holy",27
"1254","am_going",30
"1255","and_or",36
"1256","but_she",61
"1257","way_i",52
"1258","year_i",43
"1259","it's_been",60
"1260","now_the",53
"1261","to_begin",48
"1262","the_local",43
"1263","but_when",50
"1264","the_girls",39
"1265","hope_to",53
"1266","which_we",21
"1267","what_are",70
"1268","the_opportunity",38
"1269","it_may",53
"1270","theres_a",28
"1271","to_pick",49
"1272","then_we",27
"1273","the_state",193
"1274","the_government",58
"1275","one_can",28
"1276","waiting_for",67
"1277","if_she",39
"1278","her_own",37
"1279","things_like",21
"1280","every_time",43
"1281","give_it",34
"1282","were_a",47
"1283","what_to",67
"1284","looking_forward",130
"1285","decided_that",21
"1286","looks_like",95
"1287","to_understand",34
"1288","no_i",44
"1289","the_light",44
"1290","know_you",54
"1291","one_is",48
"1292","for_it",97
"1293","it_comes",52
"1294","about_her",35
"1295","to_some",40
"1296","house_and",40
"1297","might_have",57
"1298","two_years",69
"1299","i'm_going",84
"1300","our_lives",26
"1301","version_of",60
"1302","love_for",35
"1303","addition_to",49
"1304","a_more",51
"1305","we_also",27
"1306","for_years",88
"1307","love_you",185
"1308","that_and",48
"1309","and_white",32
"1310","were_all",32
"1311","keep_the",58
"1312","use_it",44
"1313","i_bought",31
"1314","the_kind",45
"1315","some_time",38
"1316","the_area",38
"1317","much_to",38
"1318","it_at",47
"1319","i_actually",36
"1320","to_talk",72
"1321","see_a",54
"1322","my_last",43
"1323","on_them",35
"1324","onto_the",39
"1325","is_there",66
"1326","inside_the",41
"1327","if_you're",88
"1328","put_a",38
"1329","on_one",37
"1330","is_this",59
"1331","my_eyes",33
"1332","than_i",53
"1333","deal_with",67
"1334","i_try",35
"1335","have_made",49
"1336","the_side",29
"1337","think_the",57
"1338","a_number",47
"1339","be_sure",45
"1340","you_had",56
"1341","in_new",93
"1342","is_being",50
"1343","it_that",42
"1344","half_of",44
"1345","in_many",37
"1346","did_a",43
"1347","as_this",28
"1348","but_with",37
"1349","out_with",58
"1350","at_that",35
"1351","which_the",40
"1352","name_of",37
"1353","something_to",51
"1354","i_may",43
"1355","important_to",36
"1356","can_only",37
"1357","and_every",28
"1358","all_in",50
"1359","and_maybe",26
"1360","they_could",49
"1361","family_and",47
"1362","at_one",43
"1363","or_in",32
"1364","to_become",46
"1365","will_also",32
"1366","me_of",34
"1367","put_it",51
"1368","not_too",43
"1369","if_youre",20
"1370","of_one",33
"1371","many_other",28
"1372","the_national",87
"1373","but_there",51
"1374","and_let",36
"1375","without_the",34
"1376","having_to",42
"1377","place_in",48
"1378","most_people",35
"1379","believe_in",33
"1380","but_to",45
"1381","a_problem",45
"1382","to_meet",87
"1383","without_a",47
"1384","how_do",73
"1385","beginning_of",36
"1386","his_wife",65
"1387","found_a",45
"1388","as_my",26
"1389","the_money",59
"1390","as_for",30
"1391","a_real",57
"1392","but_what",40
"1393","do_we",40
"1394","living_in",39
"1395","middle_of",42
"1396","the_school",65
"1397","how_many",74
"1398","had_some",28
"1399","very_much",30
"1400","that_day",36
"1401","hope_that",39
"1402","week_i",40
"1403","not_as",47
"1404","are_just",38
"1405","have_one",38
"1406","few_weeks",44
"1407","see_it",52
"1408","as_possible",44
"1409","the_current",42
"1410","it_doesn't",59
"1411","a_second",73
"1412","making_a",42
"1413","a_family",30
"1414","who_can",40
"1415","we_get",59
"1416","list_of",58
"1417","at_night",38
"1418","bunch_of",42
"1419","life_is",55
"1420","it_it",35
"1421","the_american",47
"1422","say_i",39
"1423","one_and",35
"1424","its_own",44
"1425","the_album",26
"1426","including_the",50
"1427","until_i",30
"1428","the_process",47
"1429","years_of",57
"1430","the_movie",39
"1431","to_believe",48
"1432","the_u.s",116
"1433","to_leave",49
"1434","best_of",39
"1435","the_list",40
"1436","pair_of",39
"1437","food_and",42
"1438","day_in",55
"1439","were_going",33
"1440","is_all",51
"1441","very_well",33
"1442","to_i",32
"1443","the_person",42
"1444","we_know",50
"1445","that_time",34
"1446","before_you",45
"1447","start_to",39
"1448","i_look",51
"1449","said_to",30
"1450","we_may",30
"1451","i'm_a",75
"1452","state_of",46
"1453","to_what",41
"1454","day_to",61
"1455","focus_on",52
"1456","but_it's",61
"1457","realize_that",30
"1458","get_my",50
"1459","also_a",34
"1460","on_some",37
"1461","them_as",28
"1462","you_must",45
"1463","and_would",33
"1464","my_best",40
